RA;Nome;Data de Nascimento;CPF;Sexo
1;João Silva;1990-05-10;12345678900;M
2;Maria Souza;1985-09-15;98765432100;F
3;Pedro Santos;1992-07-20;45678912300;M
4;Ana Oliveira;1988-12-05;32165498700;F
5;Lucas Pereira;1995-03-25;78912345600;M
6;Juliana Lima;1998-11-30;65498732100;F
7;Rafael Costa;1991-08-12;23456789000;M
8;Camila Martins;1986-04-18;87654321000;F
9;Gabriel Alves;1993-02-03;34567890100;M
10;Letícia Silva;1989-06-29;21054387600;F
11;Bruno Santos;1997-10-14;56789012300;M
12;Larissa Lima;1994-01-22;43210987600;F
13;Thiago Oliveira;1990-07-08;90123456700;M
14;Marina Costa;1987-05-02;67890123400;F
15;André Pereira;1996-09-19;34567891200;M
16;Carolina Souza;1984-11-11;12345678901;F
17;Marcelo Silva;1991-03-28;78901234500;M
18;Bruna Oliveira;1988-06-24;56789012301;F
19;Eduardo Santos;1992-12-09;21054367801;M
20;Vanessa Costa;1995-05-17;90123456701;F
21;Ricardo Martins;1989-08-04;65498732101;M
22;Fernanda Lima;1993-02-21;43210987601;F
23;Gabriel Oliveira;1997-07-07;67890123401;M
24;Amanda Pereira;1990-04-01;34567891201;F
25;Gustavo Souza;1985-10-16;12345678902;M
26;Mariana Silva;1992-03-27;78901234501;F
27;Lucas Oliveira;1988-06-23;56789012302;M
28;Letícia Santos;1994-12-10;21054367802;F
29;Rafael Costa;1996-05-18;90123456702;M
30;Camila Martins;1991-08-03;65498732102;F
31;Guilherme Lima;1998-02-20;43210987602;M
32;Larissa Silva;1990-07-06;67890123402;F
33;Pedro Pereira;1986-03-31;34567891202;M
34;Ana Souza;1993-09-15;12345678903;F
35;Bruno Silva;1987-12-24;78901234502;M
36;Mariana Oliveira;1994-06-11;56789012303;F
37;André Santos;1989-10-28;21054367803;M
38;Carolina Costa;1996-04-02;90123456703;F
39;Eduardo Lima;1991-08-19;65498732103;M
40;Fernanda Silva;1998-02-04;43210987603;F
41;Gabriel Costa;1990-07-21;67890123403;M
42;Amanda Oliveira;1985-05-05;34567891203;F
43;Gustavo Martins;1992-09-22;12345678904;M
44;Mariana Lima;1987-01-29;78901234503;F
45;Lucas Santos;1994-05-14;56789012304;M
46;Letícia Costa;1988-09-30;21054367804;F
47;Rafael Oliveira;1995-03-15;90123456704;M
48;Camila Silva;1990-07-10;65498732104;F
49;Guilherme Costa;1997-02-26;43210987604;M
50;Larissa Santos;1986-06-03;67890123404;F
51;Pedro Amanso;1995-03-15;12348915618;M
52;Cleide de Freitas;1991-08-19;15806615628;C
53;Machado de Assis;1985-05-05;26824868228;M
54;Amanda de Jesus;1988-06-23;36389248962;F
55;Joacyr Algoz;1989-10-28;86245648684;M
56;Cristiano Ronaldo Júnior;1987-12-24;68564598253;M
57;Romáro Neto;1986-03-31;31246589769;M
58;Gerlaine Bastos;1991-08-19;96328517562;F
59;Oséias Júnior;1992-03-27;15948266392;M
60;Lorrany Urias;1989-08-04;37568246986;F
